taxon,assessor,redlist,info,threats,motivation,threats
Moegistorhynchus longirostris,"Barraclough, D",NE,na,Overcollecting for research purposes,"Small populations, adults fly for short periods, collecting for research can severly impact population, target group for pollination studies by several research groups",
Nigidius auriculatus,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Oonotus adspersus,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Oonotus interioris,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Oonotus rex,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Oonotus sericeus,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Opisthacanthus aequispinus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus asiaticus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus asiaticus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus asper,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus browni,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus capensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus chrysopus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus diremptus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus elatus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus laevipes,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus madagascariensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus validus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus validus subsp. albicans,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opisthacanthus validus subsp. fulvipes,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus adustus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus ammopoides,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus ammopus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus angustivallis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus ater,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus austerus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus boehmei,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus brevicauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus capensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus capensis subsp. capensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus carinatus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus cavimanus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus chaperi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus coetzeei,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus concinnus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus crassimanus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus fitzsimonsi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus flavescens,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus fossor,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus fuscipes,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus gibbericauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus gigas,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus glabrifrons,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus granicauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus granifrons,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus gravimanus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus haacki,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus haringtoni,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus harpeus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus hewitti,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus holmi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus huib,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus insulomontanus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus intercedens,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus intermedius,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus jenseni,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus karooensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus karrooicus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus keilandsi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus koa,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus laticauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus latimanus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus latimanus subsp. austeroides,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus latimanus subsp. pugnax,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus latro,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus lawrencei,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus leipoldti,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus litoralis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus longicauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus lornae,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus macer,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus monopectinidens,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus nitidiceps,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus opinatus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pallipes,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pattisoni,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus peringueyi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pictus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pluridens,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus politicauda,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus praedo,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pugnax,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus purcelli,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus pygmaeus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus reticulosternus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus scabifrons,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus schlechteri,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus schultzei,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus scorpia,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus setifrons,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus ugabensis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus undulatus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus venustus,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus vulnerabilis,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus wahlbergi subsp. gariepensi,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus wahlbergi subsp. nigrovesic,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Opistophthalmus wahlbergii,"Dippenaar-Schoeman, A",NE,Tops list,collecting for illegal trade / pets,On TOPS list,"Targeted by collectors / pet trade, limited mobility and distribution"
Orachrysops niobe,D A Edge,CR,Tops list,"habitat loss, inbreeding",Known only from one population,
Philantomba monticola,"Hamer, based on information from Pfab, M",LC,"Cites, Tops lists",Cites listed,Traded in high volumes,
Poicephalus cryptoxanthus,Hamer,LC,Tops list / Cites,All parrots CITES listed because of trade issues,"targeted for illegal trade, both adults and chicks",
Poicephalus meyeri,Hamer,LC,Tops list / Cites,All parrots CITES listed because of trade issues,"targeted for illegal trade, both adults and chicks",
Poicephalus robustus,"Hamer, verified by Perrin",LC,Tops list / Cites,Subspecies - may be Endangered,"targeted for illegal trade, both adults and chicks",
Poicephalus rueppellii,Hamer,LC,Tops list / Cites,All parrots CITES listed because of trade issues,"targeted for illegal trade, both adults and chicks",
Prosopocoilus petitclerci,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Prothyma guttipennis,"Hamer, M",NE,Tops list,"Quite limited distributions known, although probably more widespread and common","Are collected by traders, time of adult activity and localitiy could result in populations being targeted",
Prothyma janthina,Hamer,NE,Tops list,Collecting for research / trade,TOPS list,
Psammobates geometricus,Andrew Turner,NE,,Collection.,Highly localised and small populaitons are vulnerable to collectors. Locality data should not be displayed.,
Python natalensis,"Hamer, M",NE,Tops list,,,
Stigmochelys pardalis subsp. babcocki,"Hamer, based on information from Pfab, M",NE,,Cites listed,Traded in high volumes,
Stigmochelys pardalis subsp. padalis,"Hamer, based on information from Pfab, M",NE,,Cites listed,Traded in high volumes,
Thestor brachycerus subsp. brachycerus,D A Edge,CR,Tops list,"habitat loss, habitat sepcificity, only 2 populations",,
Trimenia malagrida subsp. malagrida,D A Edge,CR,Tops list,"uncontrolled fires, habitat degradation","Small range, low abundance",
Trimenia wallengrenii subsp. wallengrenii,D A Edge,CR,Tops list,"Habitat fragmentation, habitat destruction and degradation","known from 2 localities, brinck of extinction",
Varanus albigularis,"Hamer, based on information from Pfab, M",NE,"Cites, Tops lists",Is traded,Traded in low volumes,
Varanus niloticus,"Hamer, based on information from Pfab, M",NE,"Cites, Tops lists",Is traded,Traded in low volumes,
